state_abbr,state,poverty_all,poverty_children_u17,poverty_children_5to17,poverty_children_u4,median_income,pop_in_poverty,children_in_poverty,population_2023,unemployment_rate,people_in_poverty,children_food_insecure_est,food_insecurity_proxy
AL,Alabama,15.7,21.3,20.200000000000003,23.200000000000003,62248.0,780043.0,236320.0,5108468.0,2.5,802029,239383,10.42
AK,Alaska,10.5,12.5,11.2,14.5,88696.0,75594.0,21568.0,733406.0,4.2,77008,20169,7.98
AZ,Arizona,12.6,15.8,15.0,17.1,77158.0,917925.0,246285.0,7431344.0,3.9000000000000004,936349,258314,9.12
AR,Arkansas,15.4,20.200000000000003,19.200000000000003,21.8,58748.0,459700.0,140145.0,3067732.0,3.3000000000000003,472431,136330,10.56
CA,California,12.0,15.0,14.6,14.7,95473.0,4597732.0,1242302.0,38965193.0,4.800000000000001,4675823,1285851,9.12
CO,Colorado,9.4,10.9,10.4,11.0,92790.0,538673.0,129751.0,5877610.0,3.2,552495,140945,6.92
CT,Connecticut,10.2,13.0,12.5,13.2,91477.0,359550.0,92619.0,3617176.0,3.8000000000000003,368952,103451,7.64
DE,Delaware,10.8,15.4,14.7,16.5,81615.0,109203.0,32159.0,1031890.0,4.0,111444,34960,8.08
DC,District of Columbia,15.2,20.700000000000003,19.9,21.3,104643.0,98811.0,25956.0,678972.0,4.9,103204,30920,11.08
FL,Florida,12.4,16.0,15.3,16.900000000000002,73283.0,2741486.0,689967.0,22610726.0,2.9000000000000004,2803730,795898,8.6
GA,Georgia,13.7,18.8,18.0,19.9,74521.0,1477354.0,469680.0,11029227.0,3.2,1511004,456169,9.5
HI,Hawaii,10.2,11.8,11.5,11.4,96716.0,143193.0,33698.0,1435138.0,3.0,146384,37256,7.32
ID,Idaho,10.1,11.3,10.2,13.2,74859.0,193938.0,52105.0,1964726.0,3.1,198437,48843,7.3
IL,Illinois,11.6,14.7,14.2,15.0,80346.0,1424894.0,390309.0,12549689.0,4.5,1455764,405857,8.76
IN,Indiana,12.2,15.1,14.0,16.6,69458.0,815808.0,234986.0,6862199.0,3.3000000000000003,837188,227962,8.64
IA,Iowa,11.1,13.0,12.0,14.3,71662.0,344877.0,93466.0,3207004.0,2.9000000000000004,355977,91720,7.82
KS,Kansas,11.2,13.1,12.0,14.5,70316.0,319815.0,89475.0,2940546.0,2.7,329341,84747,7.8
KY,Kentucky,16.1,20.200000000000003,19.1,21.8,61099.0,709405.0,201537.0,4526154.0,4.2,728711,201142,11.34
LA,Louisiana,18.9,25.200000000000003,24.3,26.9,58273.0,839489.0,264541.0,4573749.0,3.7,864439,253569,12.82
ME,Maine,10.5,12.6,12.0,12.8,73463.0,141996.0,30775.0,1395722.0,2.9000000000000004,146551,38689,7.46
MD,Maryland,9.7,11.3,10.2,12.9,98568.0,585097.0,149906.0,6180253.0,2.1,599485,153641,6.66
MA,Massachusetts,10.5,12.7,12.3,12.7,99750.0,710123.0,167647.0,7001399.0,3.4000000000000004,735147,195619,7.66
MI,Michigan,13.5,17.5,16.8,18.0,69097.0,1322242.0,362488.0,10037261.0,3.9000000000000004,1355030,386435,9.66
MN,Minnesota,9.2,10.2,9.7,10.3,85070.0,519464.0,130152.0,5737915.0,2.8000000000000003,527888,128759,6.64
MS,Mississippi,18.3,24.3,23.5,25.3,54386.0,519394.0,162144.0,2939690.0,3.2,537963,157156,12.26
MO,Missouri,12.0,14.7,13.5,16.3,68484.0,723813.0,197439.0,6196156.0,3.0,743539,200384,8.4
MT,Montana,11.8,12.8,11.7,14.0,70939.0,130301.0,29566.0,1132812.0,2.9000000000000004,133672,31900,8.24
NE,Nebraska,10.2,11.1,10.3,11.8,74727.0,197626.0,52447.0,1978379.0,2.3000000000000003,201795,48312,7.04
NV,Nevada,12.2,16.400000000000002,15.1,19.200000000000003,76332.0,383742.0,110536.0,3194176.0,5.1000000000000005,389689,115246,9.36
NH,New Hampshire,7.300000000000001,8.200000000000001,7.800000000000001,8.0,97031.0,99969.0,20374.0,1402054.0,2.2,102350,25293,5.26
NJ,New Jersey,9.7,12.8,12.4,12.6,99716.0,885529.0,252962.0,9290841.0,4.4,901212,261630,7.58
NM,New Mexico,16.900000000000002,22.6,21.9,23.9,62286.0,349872.0,100608.0,2114371.0,3.8000000000000003,357329,105127,11.66
NY,New York,14.1,18.6,17.900000000000002,19.1,82052.0,2697685.0,718306.0,19571216.0,4.2,2759541,800854,10.14
