work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,role,experience
2021e,EN,FT,Machine Learning Engineer,125000,USD,125000,US,100,US,S,Data Engineer,Entry
2021e,SE,FT,Data Analytics Manager,120000,USD,120000,US,100,US,M,Data Analyst,Senior
2021e,MI,FT,Data Scientist,150000,USD,150000,US,100,US,M,Data Scientist,Mid
2021e,SE,FT,Data Engineering Manager,153000,USD,153000,US,100,US,L,Data Engineer,Senior
2021e,MI,FT,Data Engineer,90000,USD,90000,US,100,US,L,Data Engineer,Mid
2021e,EN,FT,Data Analyst,90000,USD,90000,US,100,US,S,Data Analyst,Entry
2021e,EN,FT,Data Analyst,60000,USD,60000,US,100,US,S,Data Analyst,Entry
2021e,MI,CT,ML Engineer,270000,USD,270000,US,100,US,L,Data Engineer,Mid
2021e,MI,FT,Data Analytics Engineer,110000,USD,110000,US,100,US,L,Data Engineer,Mid
2020,EN,FT,Machine Learning Engineer,250000,USD,250000,US,50,US,L,Data Engineer,Entry
2020,EN,FT,Machine Learning Engineer,138000,USD,138000,US,100,US,S,Data Engineer,Entry
2021e,MI,FT,Data Engineer,140000,USD,140000,US,100,US,L,Data Engineer,Mid
2021e,SE,FT,Lead Data Analyst,170000,USD,170000,US,100,US,L,Data Analyst,Senior
2021e,EN,FT,Data Analyst,80000,USD,80000,US,100,US,M,Data Analyst,Entry
2021e,MI,FT,BI Data Analyst,100000,USD,100000,US,100,US,M,Data Analyst,Mid
2021e,EN,FT,Machine Learning Scientist,225000,USD,225000,US,100,US,L,Data Scientist,Entry
2021e,SE,FT,Data Engineer,150000,USD,150000,US,100,US,M,Data Engineer,Senior
2021e,SE,FT,Data Engineer,115000,USD,115000,US,100,US,S,Data Engineer,Senior
2020,MI,FT,Data Engineer,106000,USD,106000,US,100,US,L,Data Engineer,Mid
2021e,SE,FT,Data Engineer,150000,USD,150000,US,100,US,L,Data Engineer,Senior
2021e,EN,FT,Computer Vision Software Engineer,70000,USD,70000,US,100,US,M,Data Engineer,Entry
2021e,SE,FT,Lead Data Engineer,276000,USD,276000,US,0,US,L,Data Engineer,Senior
2020,SE,FT,Data Engineer,188000,USD,188000,US,100,US,L,Data Engineer,Senior
2020,MI,FT,Data Scientist,105000,USD,105000,US,100,US,L,Data Scientist,Mid
2021e,MI,FT,Data Engineer,200000,USD,200000,US,100,US,L,Data Engineer,Mid
2021e,SE,FT,Data Engineering Manager,174000,USD,174000,US,100,US,L,Data Engineer,Senior
2021e,MI,FT,Data Analyst,93000,USD,93000,US,100,US,L,Data Analyst,Mid
2021e,EN,FT,Data Scientist,90000,USD,90000,US,100,US,S,Data Scientist,Entry
2021e,SE,FT,Principal Data Analyst,170000,USD,170000,US,100,US,M,Data Analyst,Senior
2020,EN,FT,Data Analyst,91000,USD,91000,US,100,US,L,Data Analyst,Entry
2021e,SE,FT,Data Scientist,165000,USD,165000,US,100,US,L,Data Scientist,Senior
2021e,MI,FT,Data Analyst,80000,USD,80000,US,100,US,L,Data Analyst,Mid
2021e,MI,FT,Data Architect,180000,USD,180000,US,100,US,L,Data Architect,Mid
2021e,SE,FT,Data Analyst,200000,USD,200000,US,100,US,L,Data Analyst,Senior
2021e,SE,FT,Director of Data Engineering,200000,USD,200000,US,100,US,L,Data Engineer,Senior
2021e,SE,FT,ML Engineer,256000,USD,256000,US,100,US,S,Data Engineer,Senior
2021e,MI,FT,Data Engineer,110000,USD,110000,US,100,US,L,Data Engineer,Mid
2021e,EN,FT,Data Engineer,72500,USD,72500,US,100,US,L,Data Engineer,Entry
2021e,SE,FT,Machine Learning Engineer,185000,USD,185000,US,50,US,L,Data Engineer,Senior
2021e,MI,FT,Data Engineer,112000,USD,112000,US,100,US,L,Data Engineer,Mid
2020,SE,FT,Machine Learning Engineer,150000,USD,150000,US,50,US,L,Data Engineer,Senior
2021e,EN,FT,Data Scientist,58000,USD,58000,US,50,US,L,Data Scientist,Entry
2021e,EN,FT,Data Scientist,100000,USD,100000,US,100,US,M,Data Scientist,Entry
2021e,SE,CT,Staff Data Scientist,105000,USD,105000,US,100,US,M,Data Scientist,Senior
2020,EN,FT,Data Analyst,72000,USD,72000,US,100,US,L,Data Analyst,Entry
2021e,MI,FT,Data Engineer,111775,USD,111775,US,0,US,M,Data Engineer,Mid
2021e,MI,FT,Data Engineer,93150,USD,93150,US,0,US,M,Data Engineer,Mid
2020,SE,FT,Lead Data Scientist,190000,USD,190000,US,100,US,S,Data Scientist,Senior
2021e,SE,FT,Data Scientist,135000,USD,135000,US,0,US,L,Data Scientist,Senior
2021e,MI,FT,Data Scientist,147000,USD,147000,US,50,US,L,Data Scientist,Mid
2020,MI,FT,Business Data Analyst,135000,USD,135000,US,100,US,L,Data Analyst,Mid
2020,MI,FT,Lead Data Analyst,87000,USD,87000,US,100,US,L,Data Analyst,Mid
2021e,EN,FT,Machine Learning Engineer,81000,USD,81000,US,50,US,S,Data Engineer,Entry
2021e,SE,FT,Machine Learning Infrastructure Engineer,195000,USD,195000,US,100,US,M,Data Engineer,Senior
2020,MI,FT,Data Analyst,85000,USD,85000,US,100,US,L,Data Analyst,Mid
2021e,SE,FT,Machine Learning Scientist,225000,USD,225000,US,100,CA,L,Data Scientist,Senior
2020,MI,FT,BI Data Analyst,98000,USD,98000,US,0,US,M,Data Analyst,Mid
2021e,SE,FT,Data Analytics Manager,120000,USD,120000,US,0,US,L,Data Analyst,Senior
2021e,SE,FT,Machine Learning Engineer,200000,USD,200000,US,100,US,L,Data Engineer,Senior
2021e,MI,FT,Data Scientist,160000,USD,160000,US,100,US,L,Data Scientist,Mid
2021e,SE,FT,Data Engineer,165000,USD,165000,US,0,US,M,Data Engineer,Senior
2021e,SE,FT,Principal Data Engineer,185000,USD,185000,US,100,US,L,Data Engineer,Senior
2020,MI,FT,Data Engineer,110000,USD,110000,US,100,US,L,Data Engineer,Mid
2021e,SE,FT,Data Analytics Manager,140000,USD,140000,US,100,US,L,Data Analyst,Senior
2020,SE,FT,Data Scientist,120000,USD,120000,US,50,US,L,Data Scientist,Senior
2021e,MI,FT,Data Scientist,130000,USD,130000,US,50,US,L,Data Scientist,Mid
2021e,MI,FT,Data Scientist,115000,USD,115000,US,50,US,L,Data Scientist,Mid
2021e,SE,FT,Principal Data Scientist,235000,USD,235000,US,100,US,L,Data Scientist,Senior
2021e,MI,FT,Data Analyst,75000,USD,75000,US,0,US,L,Data Analyst,Mid
2021e,MI,FT,Data Analyst,62000,USD,62000,US,0,US,L,Data Analyst,Mid
2021e,MI,FT,Data Scientist,73000,USD,73000,US,0,US,L,Data Scientist,Mid
2020,MI,FT,Data Scientist,118000,USD,118000,US,100,US,M,Data Scientist,Mid
2020,MI,FT,Data Scientist,138350,USD,138350,US,100,US,M,Data Scientist,Mid
2021e,MI,FT,Principal Data Scientist,151000,USD,151000,US,100,US,L,Data Scientist,Mid
2020,EN,FT,Data Scientist,105000,USD,105000,US,100,US,S,Data Scientist,Entry
2020,EN,CT,Business Data Analyst,100000,USD,100000,US,100,US,L,Data Analyst,Entry
