state,role,avg_salary,state_code
Alabama,Business Analyst,111280.0,AL
Alabama,Data Analyst,115400.0,AL
Alabama,Data Architect,105220.0,AL
Alabama,Data Engineer,110570.0,AL
Alabama,Data Scientist,102970.0,AL
Alaska,Business Analyst,107310.0,AK
Alaska,Data Analyst,97310.0,AK
Alaska,Data Architect,104085.0,AK
Alaska,Data Engineer,117610.0,AK
Alaska,Data Scientist,88690.0,AK
Arizona,Business Analyst,117750.0,AZ
Arizona,Data Analyst,96720.0,AZ
Arizona,Data Architect,116210.0,AZ
Arizona,Data Engineer,118790.0,AZ
Arizona,Data Scientist,112460.0,AZ
Arkansas,Business Analyst,80610.0,AR
Arkansas,Data Analyst,72985.0,AR
Arkansas,Data Architect,96080.0,AR
Arkansas,Data Engineer,100380.0,AR
Arkansas,Data Scientist,104560.0,AR
California,Business Analyst,120410.0,CA
California,Data Analyst,120580.0,CA
California,Data Architect,140940.0,CA
California,Data Engineer,158000.0,CA
California,Data Scientist,155450.0,CA
Colorado,Business Analyst,116450.0,CO
Colorado,Data Analyst,118210.0,CO
Colorado,Data Architect,134455.0,CO
Colorado,Data Engineer,132080.0,CO
Colorado,Data Scientist,118250.0,CO
Connecticut,Business Analyst,120670.0,CT
Connecticut,Data Analyst,102860.0,CT
Connecticut,Data Architect,125655.0,CT
Connecticut,Data Engineer,119140.0,CT
Connecticut,Data Scientist,120270.0,CT
Delaware,Business Analyst,107720.0,DE
Delaware,Data Analyst,107010.0,DE
Delaware,Data Architect,127955.0,DE
Delaware,Data Engineer,124615.0,DE
Florida,Business Analyst,98630.0,FL
Florida,Data Analyst,95530.0,FL
Florida,Data Architect,120590.0,FL
Florida,Data Engineer,113745.0,FL
Florida,Data Scientist,117670.0,FL
Georgia,Data Analyst,94085.0,GA
Georgia,Data Architect,123590.0,GA
Georgia,Data Engineer,112405.0,GA
Georgia,Data Scientist,111020.0,GA
Hawaii,Business Analyst,98350.0,HI
Hawaii,Data Analyst,96150.0,HI
Hawaii,Data Architect,123785.0,HI
Hawaii,Data Engineer,113575.0,HI
Hawaii,Data Scientist,124530.0,HI
Idaho,Business Analyst,95070.0,ID
Idaho,Data Analyst,81030.0,ID
Idaho,Data Architect,109340.0,ID
Idaho,Data Engineer,113205.0,ID
Idaho,Data Scientist,120410.0,ID
Illinois,Business Analyst,123900.0,IL
Illinois,Data Analyst,103395.0,IL
Illinois,Data Architect,122060.0,IL
Illinois,Data Engineer,114790.0,IL
Illinois,Data Scientist,119010.0,IL
Indiana,Business Analyst,102060.0,IN
Indiana,Data Analyst,96515.0,IN
Indiana,Data Architect,108815.0,IN
Indiana,Data Engineer,99970.0,IN
